1;BANNAYOU;1122;1084;12;Jaune
2;Iron man;887;770;14;Bleu
3;HOUSSEX;779;549;16;Jaune
4;BABYKILL;766;586;15;Rouge
5;DEFLESHE;685;460;18;Jaune
6;SATOR92;680;602;13;Jaune
7;PATRIOTE;663;1036;7;Bleu
8;ANZAYMER;660;640;14;Rouge
9;POTICHAT;638;609;13;Rouge
10;zeratul;626;625;15;Jaune
11;VALOUCHE;555;417;17;Bleu
12;THEKILER;546;762;9;Bleu
13;god;545;588;11;Rouge
14;DRANNOC;532;507;13;Rouge
15;ZILI;530;739;9;Jaune
16;MIFASOL;515;568;11;Rouge
17;SISIARNL;470;659;9;Bleu
18;CLOVIS;440;817;8;Rouge
19;TIMTIM;357;1017;4;Bleu
20;ARNL;356;886;5;Bleu
21;LA LOOZE;345;434;8;Rouge
22;LULU;290;758;6;Bleu
23;VULKAIN;256;514;7;Rouge
24;FRINE;252;550;7;Rouge
25;MARJUAN;231;921;4;Bleu
26;Nanou;171;671;4;Bleu
27;clem;99;413;6;Jaune
